gene	biotype	chr	start	end	strand
FBXL3	protein_coding	13	76992598	77027195	-
ITGAL	protein_coding	16	30472658	30523185	+
PDK2	protein_coding	17	50094737	50112152	+
ITGA3	protein_coding	17	50055968	50090481	+
ZFX	protein_coding	X	24149173	24216255	+
LAMP2	protein_coding	X	120427827	120469365	-
ITGA2B	protein_coding	17	44372180	44389505	-
ASB4	protein_coding	7	95478444	95540232	+
GDE1	protein_coding	16	19501689	19522145	-
REX1BD	protein_coding	19	18588685	18592336	+
CRLF1	protein_coding	19	18572220	18607741	-
OSBPL7	protein_coding	17	47807372	47821834	-
TMEM98	protein_coding	17	32927910	32945106	+
YBX2	protein_coding	17	7288252	7294615	-
KRT33A	protein_coding	17	41346092	41350812	-
MAP3K14	protein_coding	17	45263121	45317040	-
ABCC8	protein_coding	11	17392498	17476879	-
CACNG3	protein_coding	16	24255553	24362801	+
TMEM132A	protein_coding	11	60924463	60937159	+
AP2B1	protein_coding	17	35578046	35726409	+
TAC1	protein_coding	7	97731908	97740472	+
ZNF263	protein_coding	16	3263800	3301401	+
CX3CL1	protein_coding	16	57372458	57385048	+
SPATA20	protein_coding	17	50543058	50555852	+
CACNA1G	protein_coding	17	50561068	50627474	+
TNFRSF12A	protein_coding	16	3018445	3022383	+
DLX6	protein_coding	7	97005548	97011039	+
MAP3K9	protein_coding	14	70722526	70809534	-
RALA	protein_coding	7	39623483	39708124	+
BAIAP2L1	protein_coding	7	98291651	98401068	-
KDM7A	protein_coding	7	140084746	140177035	-
ETV1	protein_coding	7	13891228	13991425	-
AGK	protein_coding	7	141551189	141655244	+
ALDH3B1	protein_coding	11	68008578	68029282	+
TTC22	protein_coding	1	54779712	54801267	-
PHTF2	protein_coding	7	77798792	77957503	+
CCL26	protein_coding	7	75769533	75789896	-
FARP2	protein_coding	2	241356243	241494841	+
USH1C	protein_coding	11	17493895	17544416	-
GGCT	protein_coding	7	30496621	30504844	-
DBF4	protein_coding	7	87876216	87909541	+
TBXA2R	protein_coding	19	3594506	3606840	-
IFRD1	protein_coding	7	112422968	112481017	+
LGALS14	protein_coding	19	39704306	39709444	+
COX10	protein_coding	17	14069496	14208677	+
GTF2IRD1	protein_coding	7	74453790	74602604	+
PAF1	protein_coding	19	39385852	39391195	-
VPS41	protein_coding	7	38722963	38932394	-
ARHGAP44	protein_coding	17	12789539	12991643	+
ELAC2	protein_coding	17	12992391	13018187	-
SCIN	protein_coding	7	12570577	12660179	+
ARSD	protein_coding	X	2903970	2929351	-
PNPLA4	protein_coding	X	7898247	7927739	-
MYH13	protein_coding	17	10300865	10373130	-
ADIPOR2	protein_coding	12	1688574	1788678	+
CDKL3	protein_coding	5	134286350	134371047	-
UPP2	protein_coding	2	157876702	158136154	+
PRSS21	protein_coding	16	2817180	2826304	+
MARK4	protein_coding	19	45079288	45305283	+
PROM1	protein_coding	4	15963076	16084378	-
CCDC124	protein_coding	19	17933016	17943991	+
CEACAM21	protein_coding	19	41549518	41586844	+
PAFAH1B1	protein_coding	17	2593210	2685615	+
NOS2	protein_coding	17	27756766	27800499	-
DNAH9	protein_coding	17	11598431	11969748	+
KIAA0100	protein_coding	17	28614440	28645454	-
SLC13A2	protein_coding	17	28473293	28497781	+
GAS7	protein_coding	17	9910609	10198551	-
TRAPPC6A	protein_coding	19	45162928	45178237	-
MATK	protein_coding	19	3777970	3802129	-
CEACAM7	protein_coding	19	41673307	41706976	-
CD79B	protein_coding	17	63928740	63932354	-
SCN4A	protein_coding	17	63938554	63972918	-
ST7L	protein_coding	1	112523518	112620825	-
TKTL1	protein_coding	X	154295671	154330350	+
PAX6	protein_coding	11	31784779	31818062	-
RPUSD1	protein_coding	16	784974	788397	-
RHBDF1	protein_coding	16	58059	76355	-
LUC7L	protein_coding	16	188969	229463	-
CACNA2D2	protein_coding	3	50362799	50504244	-
BAIAP3	protein_coding	16	1333601	1349441	+
TSR3	protein_coding	16	1349240	1351911	-
PIGQ	protein_coding	16	566995	584136	+
CRAMP1	protein_coding	16	1612325	1677908	+
TEAD3	protein_coding	6	35473597	35497076	-
SELE	protein_coding	1	169722641	169764705	-
DNAJC11	protein_coding	1	6634168	6701924	-
FMO3	protein_coding	1	171090877	171117819	+
MYLIP	protein_coding	6	16129125	16148248	+
NOX1	protein_coding	X	100843324	100874345	-
E2F2	protein_coding	1	23506430	23531220	-
PSMB1	protein_coding	6	170535117	170553341	-
SYN1	protein_coding	X	47571898	47619943	-
JARID2	protein_coding	6	15246296	15522040	+
CDKL5	protein_coding	X	18425583	18653629	+
CAMK1G	protein_coding	1	209583717	209613938	+
CDK11A	protein_coding	1	1702730	1724324	-
NADK	protein_coding	1	1751232	1780457	-
TFAP2B	protein_coding	6	50818723	50847613	+
TFAP2D	protein_coding	6	50713828	50772988	+
DLEC1	protein_coding	3	38039205	38124025	+
CYTH3	protein_coding	7	6161776	6272644	-
ADAM22	protein_coding	7	87934143	88202889	+
SYPL1	protein_coding	7	106090503	106112576	-
CYB561	protein_coding	17	63432304	63446378	-
SPAG9	protein_coding	17	50962174	51120865	-
CELSR3	protein_coding	3	48636469	48662915	-
AASS	protein_coding	7	122075647	122144280	-
PLEKHG6	protein_coding	12	6310436	6328506	+
SS18L2	protein_coding	3	42581840	42595114	+
MPND	protein_coding	19	4343527	4360086	+
MGST1	protein_coding	12	16347142	16609259	+
CRY1	protein_coding	12	106991364	107093829	-
PGLYRP1	protein_coding	19	46019153	46023065	-
NFIX	protein_coding	19	12995608	13098796	+
ST3GAL1	protein_coding	8	133454848	133571940	-
MMP25	protein_coding	16	3046681	3060726	+
IL32	protein_coding	16	3065297	3082192	+
PKD1	protein_coding	16	2088710	2135898	-
MAPK8IP2	protein_coding	22	50600685	50613981	+
MED24	protein_coding	17	40019097	40061215	-
RHOBTB2	protein_coding	8	22987417	23020199	+
HEATR5B	protein_coding	2	36968383	37084342	-
SEC62	protein_coding	3	169966635	169998373	+
RPS20	protein_coding	8	56067295	56074581	-
CSDE1	protein_coding	1	114716913	114758676	-
UBE3C	protein_coding	7	157138913	157269372	+
REV3L	protein_coding	6	111299028	111483715	-
TENM1	protein_coding	X	124375903	124963817	-
PAX7	protein_coding	1	18631006	18748866	+
MASP2	protein_coding	1	11026523	11047233	-
IYD	protein_coding	6	150368892	150405969	+
FAM76A	protein_coding	1	27725979	27763122	+
TRAF3IP3	protein_coding	1	209756032	209782320	+
POMT2	protein_coding	14	77274956	77320884	-
VTA1	protein_coding	6	142147162	142224689	+
MLXIPL	protein_coding	7	73593194	73624543	-
BAZ1B	protein_coding	7	73440398	73522278	-
RANBP9	protein_coding	6	13621498	13711564	-
ETV7	protein_coding	6	36354091	36387800	-
SPRTN	protein_coding	1	231337104	231355023	+
METTL13	protein_coding	1	171781664	171814023	+
DYRK4	protein_coding	12	4562204	4615302	+
ZNF207	protein_coding	17	32350117	32381886	+
UQCRC1	protein_coding	3	48599002	48610976	-
STARD3NL	protein_coding	7	38178222	38230671	+
CD9	protein_coding	12	6199715	6238271	+
HHATL	protein_coding	3	42692663	42702827	-
NCAPD2	protein_coding	12	6493356	6531955	+
IFFO1	protein_coding	12	6538375	6556083	-
GIPR	protein_coding	19	45668244	45683724	+
PHF7	protein_coding	3	52410657	52423641	+
SEMA3G	protein_coding	3	52433053	52445085	-
NISCH	protein_coding	3	52455118	52493071	+
STAB1	protein_coding	3	52495338	52524495	+
FUZ	protein_coding	19	49806869	49817376	-
SLC6A13	protein_coding	12	220621	262873	-
IDS	protein_coding	X	149476990	149521096	-
PRSS3	protein_coding	9	33750466	33799231	+
ZNF200	protein_coding	16	3222325	3236221	-
CD4	protein_coding	12	6786858	6820808	+
LRRC23	protein_coding	12	6873569	6914243	+
BTK	protein_coding	X	101349447	101390796	-
HFE	protein_coding	6	26087281	26098343	+
SCMH1	protein_coding	1	41027200	41242154	-
FYN	protein_coding	6	111660332	111873452	-
HIVEP2	protein_coding	6	142751467	142956698	-
FMO1	protein_coding	1	171248471	171285978	+
ELOA	protein_coding	1	23743155	23762059	+
LYPLA2	protein_coding	1	23790970	23795539	+
CLCN6	protein_coding	1	11806096	11843144	+
MRC2	protein_coding	17	62627401	62693597	+
NME1-NME2	protein_coding	17	51153590	51171744	+
SLC6A7	protein_coding	5	150189957	150222788	+
TSPAN9	protein_coding	12	3077355	3286564	+
BTBD7	protein_coding	14	93237550	93333092	-
APBA3	protein_coding	19	3750819	3761699	-
MKS1	protein_coding	17	58205437	58219605	-
ABHD5	protein_coding	3	43690108	43734371	+
ANOS1	protein_coding	X	8528874	8732186	-
AKAP8L	protein_coding	19	15380048	15419141	-
MBTD1	protein_coding	17	51177425	51260163	-
UTP18	protein_coding	17	51260528	51297936	+
RNF216	protein_coding	7	5620047	5781739	-
TTC19	protein_coding	17	15999380	16045015	+
PTBP1	protein_coding	19	797075	812327	+
DPF1	protein_coding	19	38211006	38229714	-
SYT7	protein_coding	11	61515313	61581148	-
LARS2	protein_coding	3	45388506	45549421	+
PIK3C2A	protein_coding	11	17077730	17207983	-
PLAUR	protein_coding	19	43646095	43670547	-
ANLN	protein_coding	7	36389806	36453791	+
WIZ	protein_coding	19	15419980	15449951	-
RABGAP1	protein_coding	9	122940833	123104866	+
DCN	protein_coding	12	91140484	91183123	-
QPCTL	protein_coding	19	45692483	45703989	+
PPP5C	protein_coding	19	46346994	46392981	+
CEP68	protein_coding	2	65056366	65087004	+
MAP4K3	protein_coding	2	39249266	39437312	-
ZBTB32	protein_coding	19	35704527	35717038	+
TYROBP	protein_coding	19	35904401	35908295	-
TMEM159	protein_coding	16	21158377	21180616	+
GABRA3	protein_coding	X	152166234	152451358	-
BRCA1	protein_coding	17	43044295	43170245	-
ERCC1	protein_coding	19	45407333	45478828	-
CD22	protein_coding	19	35319261	35347355	+
SEMA3B	protein_coding	3	50267558	50277546	+
MBTPS2	protein_coding	X	21839636	21885424	+
PRICKLE3	protein_coding	X	49175264	49186528	-
LTF	protein_coding	3	46435645	46485234	-
EXTL3	protein_coding	8	28600469	28755599	+
NR1H4	protein_coding	12	100473708	100564413	+
ELOVL5	protein_coding	6	53267398	53349179	-
ALOX5	protein_coding	10	45374176	45446119	+
KDM5D	protein_coding	Y	19703865	19744939	-
CALCOCO1	protein_coding	12	53708517	53727745	-
UBR7	protein_coding	14	93207056	93229215	+
MAP4K5	protein_coding	14	50418501	50561126	-
EHD3	protein_coding	2	31234337	31269447	+
PSMC4	protein_coding	19	39971005	39981441	+
MAN2B2	protein_coding	4	6575175	6623362	+
SLC7A14	protein_coding	3	170459584	170586074	-
CLDN11	protein_coding	3	170418865	170454733	+
SLC25A39	protein_coding	17	44319625	44324870	-
MVP	protein_coding	16	29820394	29848039	+
NUB1	protein_coding	7	151341699	151378449	+
PGM3	protein_coding	6	83161150	83193936	-
RWDD2A	protein_coding	6	83193379	83198932	+
CLK1	protein_coding	2	200853009	200864744	-
POLR3B	protein_coding	12	106357658	106510198	+
ANGEL1	protein_coding	14	76786178	76826246	-
RNF14	protein_coding	5	141958328	141990291	+
DNASE1L1	protein_coding	X	154401238	154412112	-
DDX11	protein_coding	12	31073845	31104791	+
HEBP1	protein_coding	12	12974864	13000273	-
GPRC5A	protein_coding	12	12890782	12917937	+
MAMLD1	protein_coding	X	150361422	150514178	+
CD6	protein_coding	11	60971680	61020377	+
TACC3	protein_coding	4	1721490	1745176	+
UFL1	protein_coding	6	96521595	96555276	+
POLA2	protein_coding	11	65261762	65305589	+
ZC3H3	protein_coding	8	143437655	143541453	-
CAPN1	protein_coding	11	65180566	65212006	+
ACPP	protein_coding	3	132317367	132368298	+
MDH1	protein_coding	2	63588609	63607197	+
SLC30A9	protein_coding	4	41990472	42090457	+
MTMR11	protein_coding	1	149928651	149936869	-
COX15	protein_coding	10	99711844	99732100	-
CCDC88C	protein_coding	14	91271323	91417844	-
YAF2	protein_coding	12	42157104	42238349	-
ZMYND11	protein_coding	10	134465	254637	+
WAS	protein_coding	X	48676596	48691427	+
DPEP1	protein_coding	16	89613308	89638456	+
BID	protein_coding	22	17734138	17774770	-
MATR3	protein_coding	5	139293648	139331677	+
NPC1L1	protein_coding	7	44512535	44541315	-
XYLT2	protein_coding	17	50346092	50363138	+
RGPD5	protein_coding	2	109792758	109857695	+
STMN4	protein_coding	8	27235323	27258420	-
NUDCD3	protein_coding	7	44379121	44490880	-
ISL1	protein_coding	5	51383391	51394738	+
CHDH	protein_coding	3	53812335	53846390	-
IL20RA	protein_coding	6	136999971	137045180	-
CLCA1	protein_coding	1	86468368	86500289	+
CLCA4	protein_coding	1	86547078	86580754	+
GLT8D1	protein_coding	3	52694488	52706032	-
ATP2C1	protein_coding	3	130850595	131016712	+
IGF1	protein_coding	12	102395874	102481744	-
SLC38A5	protein_coding	X	48458537	48470256	-
RALBP1	protein_coding	18	9475009	9538116	+
RUFY3	protein_coding	4	70704204	70807315	+
CNTN1	protein_coding	12	40692442	41072418	+
SLC11A1	protein_coding	2	218382029	218396894	+
WWTR1	protein_coding	3	149517235	149736714	-
AGPS	protein_coding	2	177392644	177559299	+
ZNF806	unprocessed_pseudogene	2	132309309	132318736	+
CXorf56	protein_coding	X	119538149	119565408	-
ATP1A2	protein_coding	1	160115759	160143591	+
TTC27	protein_coding	2	32628032	32821051	+
ZNF582	protein_coding	19	56375846	56393545	-
VSIG2	protein_coding	11	124747472	124752238	-
PHLDB1	protein_coding	11	118606440	118658038	+
MARCO	protein_coding	2	118942166	118994660	+
CYP24A1	protein_coding	20	54153449	54173973	-
PRDM11	protein_coding	11	45095806	45235110	+
SYT13	protein_coding	11	45240301	45286319	-
SNAI2	protein_coding	8	48917604	48921740	-
CD74	protein_coding	5	150401637	150412929	-
HGF	protein_coding	7	81699008	81770438	-
ZRANB1	protein_coding	10	124942123	124988189	+
NCDN	protein_coding	1	35557473	35567274	+
ADGRA2	protein_coding	8	37784191	37844896	+
CCT8L1P	processed_pseudogene	7	152445477	152447150	+
ZFP64	protein_coding	20	52051663	52204308	-
MNAT1	protein_coding	14	60734742	60969953	+
SAMD4A	protein_coding	14	54567097	54793315	+
RUNX3	protein_coding	1	24899511	24965121	-
MRE11	protein_coding	11	94415578	94493908	-
PLEKHB1	protein_coding	11	73646178	73662819	+
SERPINB1	protein_coding	6	2832332	2842006	-
CYP3A43	protein_coding	7	99828013	99866102	+
SLC7A9	protein_coding	19	32830509	32869766	-
SPAST	protein_coding	2	32063547	32157637	+
NRXN3	protein_coding	14	78170373	79868290	+
OSBPL5	protein_coding	11	3087116	3166739	-
AQR	protein_coding	15	34851782	34969839	-
CPS1	protein_coding	2	210477682	210679107	+
C8B	protein_coding	1	56929210	56966140	-
FHL1	protein_coding	X	136146702	136211359	+
RTF2	protein_coding	20	56468585	56519449	+
GABRA1	protein_coding	5	161847063	161899981	+
NLRP2	protein_coding	19	54953130	55001142	+
SLC45A4	protein_coding	8	141207166	141308305	-
RNF10	protein_coding	12	120533480	120577594	+
ZNF839	protein_coding	14	102317377	102342702	+
ZDHHC6	protein_coding	10	112424428	112446917	-
GRAMD1B	protein_coding	11	123358428	123627774	+
RNH1	protein_coding	11	494512	507300	-
NDUFS1	protein_coding	2	206114817	206159603	-
RB1CC1	protein_coding	8	52622456	52745843	-
ERP44	protein_coding	9	99979179	100099040	-
ALAS1	protein_coding	3	52198086	52214327	+
BIRC3	protein_coding	11	102317450	102339403	+
AKAP11	protein_coding	13	42272153	42323267	+
GLRX2	protein_coding	1	193090866	193106114	-
SNAPC1	protein_coding	14	61762357	61796428	+
DERA	protein_coding	12	15911172	16037282	+
STRAP	protein_coding	12	15882391	15903478	+
ABCC2	protein_coding	10	99782732	99852192	+
DEF6	protein_coding	6	35297852	35321771	+
PLEKHO1	protein_coding	1	150149183	150164720	+
GCLM	protein_coding	1	93885205	93909456	-
UBR2	protein_coding	6	42564062	42693504	+
EHD2	protein_coding	19	47713343	47743134	+
DEPDC1	protein_coding	1	68474152	68497221	-
CCDC28A	protein_coding	6	138773509	138793319	+
RRAGD	protein_coding	6	89364636	89412270	-
HSF2	protein_coding	6	122399546	122433119	+
PHF20	protein_coding	20	35771974	35950381	+
HSD17B6	protein_coding	12	56752161	56787790	+
NR1H3	protein_coding	11	47248300	47269032	+
TYMP	protein_coding	22	50525752	50530056	-
NCAPH2	protein_coding	22	50508216	50523472	+
TOMM34	protein_coding	20	44942130	44960486	-
SEC63	protein_coding	6	107867756	107958189	-
KPNA6	protein_coding	1	32108038	32176568	+
VIM	protein_coding	10	17228259	17237593	+
RTEL1-TNFRSF6B	protein_coding	20	63659300	63698684	+
FAS	protein_coding	10	88990582	89015785	+
RNASET2	protein_coding	6	166929504	166957191	-
CD44	protein_coding	11	35138870	35232402	+
KCNG1	protein_coding	20	51003656	51023129	-
AGPAT4	protein_coding	6	161129979	161274061	-
SLAMF7	protein_coding	1	160739057	160754821	+
BTN3A1	protein_coding	6	26402237	26415216	+
MIPEP	protein_coding	13	23730189	23889419	-
PRKCH	protein_coding	14	61187559	61550976	+
INSRR	protein_coding	1	156840063	156859018	-
IFNGR1	protein_coding	6	137197484	137219449	-
B4GALT7	protein_coding	5	177600100	177610347	+
SH2D2A	protein_coding	1	156806243	156816862	-
VRK2	protein_coding	2	57907651	58159920	+
TNFRSF1B	protein_coding	1	12167003	12209228	+
VEZT	protein_coding	12	95217746	95302790	+
POU2F2	protein_coding	19	42086110	42196585	-
BRD9	protein_coding	5	850291	892824	-
SNX1	protein_coding	15	64094123	64146090	+
TBPL1	protein_coding	6	133952170	133990432	+
ARNTL2	protein_coding	12	27332854	27425289	+
BCLAF1	protein_coding	6	136256627	136289851	-
SLC39A9	protein_coding	14	69398015	69462388	+
ANK1	protein_coding	8	41653220	41896762	-
IBSP	protein_coding	4	87799581	87812435	+
TFB1M	protein_coding	6	155257509	155314493	-
RABEP1	protein_coding	17	5282265	5385812	+
HMGB3	protein_coding	X	150980509	150990775	+
NUP160	protein_coding	11	47778087	47848555	-
BAK1	protein_coding	6	33572547	33580293	-
MUSK	protein_coding	9	110668771	110801620	+
IKZF2	protein_coding	2	212999691	213152427	-
GRN	protein_coding	17	44345086	44353102	+
FAM13B	protein_coding	5	137937960	138051961	-
ARHGAP31	protein_coding	3	119294373	119420714	+
CENPQ	protein_coding	6	49463378	49493107	+
SARS	protein_coding	1	109213918	109238169	+
RANBP3	protein_coding	19	5916139	5978142	-
ARID4A	protein_coding	14	58298385	58373887	+
EIPR1	protein_coding	2	3188925	3377882	-
PNPLA6	protein_coding	19	7534004	7561764	+
IFT88	protein_coding	13	20567069	20691437	+
ALG1	protein_coding	16	5033960	5087379	+
ZCCHC8	protein_coding	12	122471600	122501073	-
ABCF2	protein_coding	7	151212490	151227230	-
CHPF2	protein_coding	7	151232489	151238827	+
LRRC7	protein_coding	1	69568398	70151945	+
FUT8	protein_coding	14	65410592	65744121	+
UBA6	protein_coding	4	67612652	67701179	-
GAB2	protein_coding	11	78215297	78418348	-
ATP6V0A1	protein_coding	17	42458844	42522611	+
PIAS1	protein_coding	15	68054179	68198603	+
SLC4A7	protein_coding	3	27372721	27484420	-
APBA2	protein_coding	15	28884483	29118315	+
MAP2K3	protein_coding	17	21284672	21315240	+
EFCAB1	protein_coding	8	48710789	48735311	-
TMSB10	protein_coding	2	84905625	84906675	+
ASTE1	protein_coding	3	131013875	131027649	-
RNF19A	protein_coding	8	100257060	100336218	-
PEX3	protein_coding	6	143450807	143490010	+
GABARAPL2	protein_coding	16	75566351	75577881	+
MYOC	protein_coding	1	171635417	171652683	-
SH3YL1	protein_coding	2	217730	266398	-
FAM136A	protein_coding	2	70295975	70302090	-
VCL	protein_coding	10	73995193	74121363	+
DEPDC1B	protein_coding	5	60596912	60700190	-
DAPK2	protein_coding	15	63907036	64072033	-
NSMAF	protein_coding	8	58583504	58659844	-
ADSS	protein_coding	1	244408494	244452134	-
STAP1	protein_coding	4	67558728	67607337	+
TIMP2	protein_coding	17	78852977	78925387	-
RFC1	protein_coding	4	39287456	39366375	-
TBC1D23	protein_coding	3	100261000	100325251	+
CUL3	protein_coding	2	224470150	224585397	-
MYOM2	protein_coding	8	2045040	2165552	+
OTC	protein_coding	X	38352545	38421450	+
CYP46A1	protein_coding	14	99684304	99727301	+
AC118549.1	protein_coding	1	77562416	77683419	-
SLC18A1	protein_coding	8	20144855	20183206	-
USP2	protein_coding	11	119355215	119381726	-
CASR	protein_coding	3	122183683	122291629	+
TUBG2	protein_coding	17	42659305	42667006	+
RPL26L1	protein_coding	5	172958729	172969771	+
FLT4	protein_coding	5	180601506	180649624	-
NSUN2	protein_coding	5	6599239	6633291	-
FBXO42	protein_coding	1	16246839	16352454	-
MFAP3	protein_coding	5	154038906	154220478	+
MRI1	protein_coding	19	13764532	13774282	+
METTL1	protein_coding	12	57768471	57772793	-
HOXC8	protein_coding	12	54009106	54012362	+
AGA	protein_coding	4	177430770	177442503	-
PI4K2B	protein_coding	4	25233975	25279092	+
BOD1L1	protein_coding	4	13568738	13627723	-
MAT2B	protein_coding	5	163503114	163519336	+
TLL1	protein_coding	4	165873258	166103895	+
EDC4	protein_coding	16	67873023	67884503	+
TRIO	protein_coding	5	14143702	14532128	+
VCAN	protein_coding	5	83471465	83582303	+
CLEC16A	protein_coding	16	10944488	11182189	+
MSR1	protein_coding	8	16107878	16567490	-
CDH1	protein_coding	16	68737225	68835548	+
MTREX	protein_coding	5	55307760	55425581	+
DNAH5	protein_coding	5	13690331	13944543	-
ZFYVE16	protein_coding	5	80408013	80479350	+
RIPOR1	protein_coding	16	67518418	67546788	+
C6	protein_coding	5	41142234	41261438	-
RAI14	protein_coding	5	34656237	34832627	+
SOX30	protein_coding	5	157625679	157671480	-
PNKP	protein_coding	19	49859882	49878351	-
BEST2	protein_coding	19	12751702	12758458	+
PHLPP2	protein_coding	16	71637835	71724701	-
SPDL1	protein_coding	5	169583634	169604778	+
STAU2	protein_coding	8	73420369	73747708	-
PQLC2	protein_coding	1	19312326	19329300	+
CTNS	protein_coding	17	3636468	3661542	+
RTN4R	protein_coding	22	20241415	20283246	-
PHF23	protein_coding	17	7235028	7239722	-
CDH10	protein_coding	5	24487100	24644978	-
INPP4A	protein_coding	2	98444854	98594390	+
RAB27B	protein_coding	18	54717860	54895516	+
PSMA4	protein_coding	15	78540405	78552419	+
MYO16	protein_coding	13	108596152	109208007	+
LSG1	protein_coding	3	194640788	194672477	-
PARP3	protein_coding	3	51942345	51948867	+
TNC	protein_coding	9	115019578	115118257	-
THAP3	protein_coding	1	6624866	6635586	+
RIPOR3	protein_coding	20	50586108	50691528	-
TDP1	protein_coding	14	89954939	90044768	+
AIFM2	protein_coding	10	70098223	70132934	-
C2orf83	protein_coding	2	227610090	227648606	-
SPATA7	protein_coding	14	88384924	88470350	+
