tissue_culture	tissue_culture_notes	tissue_culture_extra	sample_number	sample_status	sample_assay	sample_prep_date	sample_timepoint	sample_extra	sample_notes	library_number	library_finish_date	library_pcr_cycles	aggregation	date_completed	project	sample_taxonomy	genome_index	sample_factors	treatment	donor	dnase_units	nuclei_count	total_reads	mapping_nuclear	mapping_non_nuclear	non_mapping_adapter	non_mapping_other	hotspot1_SPOT	hotspot2_SPOT	number_hotspots	genomic_area_hotspots	dhsindex_WM20180608b_differential_peaks	dup_rate	preseq_est_max	adapter_trimmed	umi_method	quality_classification	warnings	median_insert_size	insert_ls_ratio	library_ls_ratio	insert_fourier_transform_11	all-alignments-bam	bam-index	cutcounts-bw	cutcounts-starch	cutcounts-tabix-bgz	density-bed-starch-windowed	density-bigwig-windowed	density-tabix-bgz	fragments-starch	hotspot-calls	hotspot-calls-1per	hotspot-calls-point1per	hotspot-peaks	hotspot-peaks-1per	hotspot-peaks-point1per	hotspot-per-base	mm-density-bed-starch-windowed	mm-density-bigwig-windowed	normalized-density-bed-starch	normalized-density-bigwig-windowed	normalized-density-tabix-bgz	normalized-mm-density-bed-starch	normalized-mm-density-bigwig-windowed
TC10341	None	None	DS74588	Hold 4C	DHS-pseudonano	9/25/19	0.00 hour	0 hr	None	LN58058	10/2/19	8	AG22440	1/21/20	Immunostimulants Phase Three	h.CD8+	GRCh38_no_alts	None	None	Allcells 6054	100	400000	60699498	51852320	584207	81533	8181438	0.4079	0.2618	39514	15946223	208	14.12%	137448390	20923432	None	Analysis ready	None	89	0.5302	0.718907832	0.4111	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58058/aggregation-22440/output_2.5.1/normalized.mm_density.bw
TC10875	None	"from frozen PBMC's that were thawed overnight, isolated using Stemcells kit 19053"	DS75787	Hold 4C	DHS-pseudonano	10/30/19	0.00 hour	"time 0, no activation"	None	LN59116	11/19/19	7	AG24581	12/21/19	Immunostimulants Phase Three	h.CD8+	GRCh38_no_alts	None	None	Allcells 13168	100	620000	46695416	39110284	624091	193317	6767724	0.5334	0.4415	49943	19361797	186	14.70%	106590050	23050286	None	Analysis ready	None	74	0.1357	0.361442643	0.0188	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/density.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/density.bw	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN59116/aggregation-24581/output_2.5.1/normalized.mm_density.bw
TC10837	None	"thawed, cultured overnight and sorted with stemcells kit 19053"	DS75682	Hold 4C	DHS-pseudonano	10/28/19	0.00 hour	"0 hr not activated, from frozen"	None	LN59047	11/14/19	7	AG24638	11/24/19	Immunostimulants Phase Three	h.CD8+	GRCh38_no_alts	None	None	Allcells 15824	120	970000	38384182	31317582	304185	171818	6590597	0.4353	0.3054	42402	15667161	156	8.82%	155575710	18682430	None	Analysis ready	None	74	0.1263	0.419667205	0.2658	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/density.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/density.bw	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN59047/aggregation-24638/output_2.5.1/normalized.mm_density.bw
TC10768	None	from frozen PBMC.  Used stemcell 17952 kit	DS75471	Hold 4C	DHS-pseudonano	10/23/19	0.00 hour	"h.CD4+, Time 0 hr, from frozen"	None	LN58812	11/5/19	9	AG23545	11/14/19	Immunostimulants Phase Three	h.CD4+	GRCh38_no_alts	None	None	Allcells 15824	120	550000	36055202	29841074	664519	148922	5400687	0.3151	0.1923	36296	11579682	125	13.51%	84726441	17440516	None	Analysis ready	None	76	0.2866	0.38394546	0.1261	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58812/aggregation-23545/output_2.5.1/normalized.mm_density.bw
TC10428	None	None	DS74739	Hold 4C	DHS-pseudonano	10/2/19	0.00 hour	0 hr	None	LN58153	10/9/19	9	AG22562	10/24/19	Immunostimulants Phase Three	h.CD3+	GRCh38_no_alts	None	None	Allcells 13168	120	1370000	81612936	68165354	910213	593274	11944095	0.7454	0.6665	60559	27644085	382	32.25%	76885382	56139812	None	Analysis ready	None	59	0.0521	0.146521537	0.2177	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58153/aggregation-22562/output_2.5.1/normalized.mm_density.bw
TC10429	None	None	DS74741	Hold 4C	DHS-pseudonano	10/2/19	0.00 hour	0 hr	None	LN58155	10/9/19	10	AG22560	10/24/19	Immunostimulants Phase Three	h.CD4+	GRCh38_no_alts	None	None	Allcells 13168	100	1560000	47565070	40011426	1154307	245093	6154244	0.7775	0.7011	51317	20134992	246	31.81%	47109983	34569770	None	Analysis ready	None	61	0.0254	0.187089356	0.098	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58155/aggregation-22560/output_2.5.1/normalized.mm_density.bw
TC10430	None	None	DS74745	Hold 4C	DHS-pseudonano	10/2/19	0.00 hour	0 hr	None	LN58159	10/9/19	8	AG22556	10/24/19	Immunostimulants Phase Three	h.CD8+	GRCh38_no_alts	None	None	Allcells 13168	120	1100000	28426924	15666148	295613	244243	12220920	0.6152	0.4785	37332	13916990	135	12.69%	71108281	14257136	None	Analysis ready	None	63	0.0626	0.215733292	0.2933	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58159/aggregation-22556/output_2.5.1/normalized.mm_density.bw
TC10531	None	None	DS74931	Hold 4C	DHS-pseudonano	10/7/19	0.00 hour	"from frozen cells, Time 0"	None	LN58338	10/14/19	9	AG22690	10/23/19	Immunostimulants Phase Three	h.CD8+	GRCh38_no_alts	None	None	Allcells 15824	100	470000	83317272	69743180	1116546	349700	12107846	0.3989	0.3043	52237	21050461	240	12.66%	211788826	29438538	None	Analysis ready	None	89	0.7283	1.81865582	0.0578	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58338/aggregation-22690/output_2.5.1/normalized.mm_density.bw
TC10529	None	None	DS74925	Hold 4C	DHS-pseudonano	10/7/19	0.00 hour	"from frozen cells, Time 0"	None	LN58332	10/14/19	7	AG22696	10/23/19	Immunostimulants Phase Three	h.CD3+	GRCh38_no_alts	None	None	Allcells 15824	100	600000	70740314	60023616	816673	143127	9756898	0.3886	0.2774	44746	20394786	239	7.92%	283562382	18398548	None	Screening	LS-ratio > 0.75	105	1.0487	2.391804098	0.3923	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58332/aggregation-22696/output_2.5.1/normalized.mm_density.bw
TC10217	None	None	DS74288	Hold 4C	DHS-pseudonano	9/5/19	None	None	None	LN57875	9/17/19	10	AG22032	10/14/19	Immunopedia	h.CD4.Th17	GRCh38_no_alts	None	None	Allcells 12375	100	65000	67506512	56641900	291214	101199	10472199	0.3643	0.1715	28645	12479201	153	20.35%	87128179	22051626	None	Analysis ready	None	90	0.6589	1.594927651	0.6632	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/marked.bam	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/marked.bam.bai	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/cutcounts.bw	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/cutcounts.starch	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/cutcounts.bed.bgz	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/density.starch	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/density.bw	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/density.bgz	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/fragments.starch	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/peaks/nuclear.allcalls.starch	None	None	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/normalized.density.starch	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/normalized.density.bw	/net/seq/data/aggregations/LN57875/aggregation-22032/output_2.5.0/normalized.density.bgz	None	None
